campaign_id,campaign_name,product_id,channel,start_date,end_date
5074,Campaign_5074,3017,Radio,2025-04-06,2025-05-09
5075,Campaign_5075,3050,Search Engine,2025-04-02,2025-05-23
5076,Campaign_5076,3035,Social Media,2025-02-21,2025-03-10
5077,Campaign_5077,3003,Social Media,2025-04-06,2025-05-17
5078,Campaign_5078,3066,TV,2025-03-11,2025-04-25
5079,Campaign_5079,3015,Search Engine,2025-03-31,2025-05-29
5080,Campaign_5080,3033,TV,2025-03-18,2025-04-10
5081,Campaign_5081,3078,Search Engine,2025-03-17,2025-05-10
5082,Campaign_5082,3062,Social Media,2025-04-20,2025-05-07
5083,Campaign_5083,3017,Email,2025-02-07,2025-03-17
5084,Campaign_5084,3022,TV,2025-04-18,2025-05-03
5085,Campaign_5085,3087,Search Engine,2025-03-04,2025-04-25
5086,Campaign_5086,3044,Email,2025-03-31,2025-05-15
5087,Campaign_5087,3069,Search Engine,2025-04-18,2025-05-17
5088,Campaign_5088,3020,Social Media,2025-03-24,2025-05-23
5089,Campaign_5089,3046,Radio,2025-02-27,2025-03-23
5090,Campaign_5090,3015,Social Media,2025-03-13,2025-05-12
5091,Campaign_5091,3017,Social Media,2025-05-05,2025-07-04
5092,Campaign_5092,3063,Email,2025-03-29,2025-05-01
5093,Campaign_5093,3070,Radio,2025-02-17,2025-03-22
5094,Campaign_5094,3059,Radio,2025-03-13,2025-03-31
5095,Campaign_5095,3078,Email,2025-04-04,2025-04-18
5096,Campaign_5096,3039,TV,2025-04-28,2025-06-22
5097,Campaign_5097,3092,TV,2025-02-16,2025-03-31
5098,Campaign_5098,3052,TV,2025-02-14,2025-04-01
5099,Campaign_5099,3009,Social Media,2025-03-15,2025-04-14
5100,Campaign_5100,3082,Email,2025-02-26,2025-04-05
5101,Campaign_5101,3059,Radio,2025-02-25,2025-03-29
5102,Campaign_5102,3016,Radio,2025-02-15,2025-04-06
5103,Campaign_5103,3075,Social Media,2025-04-01,2025-05-30
5104,Campaign_5104,3016,TV,2025-03-05,2025-04-16
5105,Campaign_5105,3007,Email,2025-02-22,2025-04-06
5106,Campaign_5106,3019,Search Engine,2025-04-29,2025-05-19
5107,Campaign_5107,3020,Search Engine,2025-02-20,2025-04-16
5108,Campaign_5108,3028,Search Engine,2025-04-20,2025-06-02
5109,Campaign_5109,3036,Email,2025-04-21,2025-05-17
5110,Campaign_5110,3025,Radio,2025-04-17,2025-05-14
5111,Campaign_5111,3016,Search Engine,2025-03-15,2025-05-03
5112,Campaign_5112,3068,Email,2025-03-30,2025-05-11
5113,Campaign_5113,3082,Social Media,2025-03-16,2025-05-02
5114,Campaign_5114,3074,Social Media,2025-03-11,2025-03-31
5115,Campaign_5115,3084,Radio,2025-04-18,2025-06-13
5116,Campaign_5116,3077,Search Engine,2025-02-26,2025-04-13
5117,Campaign_5117,3005,Email,2025-03-17,2025-04-01
5118,Campaign_5118,3005,Radio,2025-05-03,2025-05-29
5119,Campaign_5119,3083,Social Media,2025-04-04,2025-06-02
5120,Campaign_5120,3073,TV,2025-03-04,2025-04-22
5121,Campaign_5121,3081,Email,2025-03-08,2025-04-18
5122,Campaign_5122,3080,Radio,2025-04-20,2025-05-18
5123,Campaign_5123,3082,Search Engine,2025-03-12,2025-04-21
5124,Campaign_5124,3031,TV,2025-04-07,2025-05-06
5125,Campaign_5125,3058,Email,2025-02-15,2025-04-10
5126,Campaign_5126,3007,Social Media,2025-04-10,2025-05-18
5127,Campaign_5127,3053,TV,2025-05-01,2025-06-09
5128,Campaign_5128,3026,Search Engine,2025-04-12,2025-05-30
5129,Campaign_5129,3018,Search Engine,2025-04-07,2025-06-01
5130,Campaign_5130,3040,Search Engine,2025-04-19,2025-05-24
5131,Campaign_5131,3016,Search Engine,2025-04-07,2025-05-19
5132,Campaign_5132,3071,Email,2025-03-07,2025-04-06
5133,Campaign_5133,3030,TV,2025-03-25,2025-04-11
5134,Campaign_5134,3034,TV,2025-03-29,2025-04-23
5135,Campaign_5135,3018,Email,2025-03-28,2025-04-10
5136,Campaign_5136,3037,TV,2025-03-15,2025-05-03
5137,Campaign_5137,3053,Social Media,2025-02-26,2025-03-18
5138,Campaign_5138,3041,Radio,2025-04-29,2025-06-24
5139,Campaign_5139,3040,Social Media,2025-03-16,2025-05-13
5140,Campaign_5140,3020,TV,2025-03-25,2025-05-06
5141,Campaign_5141,3059,TV,2025-04-19,2025-05-18
5142,Campaign_5142,3063,Email,2025-03-22,2025-04-06
5143,Campaign_5143,3050,Radio,2025-03-04,2025-04-12
5144,Campaign_5144,3030,Social Media,2025-04-26,2025-06-12
5145,Campaign_5145,3045,Email,2025-05-05,2025-05-18
5146,Campaign_5146,3036,TV,2025-03-20,2025-05-07
5147,Campaign_5147,3083,TV,2025-02-20,2025-03-20
5148,Campaign_5148,3068,Email,2025-05-05,2025-05-21
5149,Campaign_5149,3055,Social Media,2025-04-30,2025-05-26
5150,Campaign_5150,3093,Search Engine,2025-02-22,2025-04-21
5151,Campaign_5151,3051,Search Engine,2025-03-15,2025-03-27
5152,Campaign_5152,3051,Email,2025-03-05,2025-04-20
5153,Campaign_5153,3071,Social Media,2025-02-05,2025-03-10
5154,Campaign_5154,3070,Search Engine,2025-03-28,2025-04-11
5155,Campaign_5155,3049,Radio,2025-04-26,2025-06-03
5156,Campaign_5156,3097,Radio,2025-03-09,2025-04-05
5157,Campaign_5157,3079,Radio,2025-04-20,2025-05-07
5158,Campaign_5158,3016,Email,2025-03-22,2025-04-26
5159,Campaign_5159,3047,Search Engine,2025-04-09,2025-05-24
5160,Campaign_5160,3046,Social Media,2025-02-21,2025-03-15
5161,Campaign_5161,3077,Radio,2025-04-12,2025-05-17
5162,Campaign_5162,3064,Email,2025-05-04,2025-05-16
5163,Campaign_5163,3004,Social Media,2025-02-14,2025-04-10
5164,Campaign_5164,3042,TV,2025-03-14,2025-04-26
5165,Campaign_5165,3058,Social Media,2025-04-02,2025-05-20
5166,Campaign_5166,3065,Social Media,2025-04-09,2025-05-09
5167,Campaign_5167,3078,Search Engine,2025-03-17,2025-04-06
5168,Campaign_5168,3050,Radio,2025-03-17,2025-05-13
5169,Campaign_5169,3038,Radio,2025-03-16,2025-04-16
5170,Campaign_5170,3064,Radio,2025-02-23,2025-04-08
5171,Campaign_5171,3062,Radio,2025-04-07,2025-05-06
5172,Campaign_5172,3060,Email,2025-02-07,2025-03-12
5173,Campaign_5173,3042,Email,2025-04-06,2025-05-12
5174,Campaign_5174,3074,Search Engine,2025-02-26,2025-04-27
5175,Campaign_5175,3092,Email,2025-02-18,2025-04-07
5176,Campaign_5176,3060,Search Engine,2025-04-05,2025-05-26
5177,Campaign_5177,3099,Radio,2025-04-06,2025-05-22
5178,Campaign_5178,3029,Email,2025-03-25,2025-05-11
5179,Campaign_5179,3061,Social Media,2025-02-12,2025-03-27
5180,Campaign_5180,3080,Radio,2025-04-04,2025-06-02
5181,Campaign_5181,3048,Social Media,2025-04-01,2025-05-24
5182,Campaign_5182,3031,Email,2025-04-17,2025-06-02
5183,Campaign_5183,3089,Email,2025-03-16,2025-04-07
5184,Campaign_5184,3002,TV,2025-02-07,2025-03-09
5185,Campaign_5185,3053,Social Media,2025-03-08,2025-04-13
5186,Campaign_5186,3088,Social Media,2025-04-05,2025-05-11
5187,Campaign_5187,3064,Radio,2025-03-01,2025-04-10
5188,Campaign_5188,3094,Email,2025-02-21,2025-04-17
5189,Campaign_5189,3017,Radio,2025-04-01,2025-04-24
5190,Campaign_5190,3071,Search Engine,2025-04-06,2025-05-28
5191,Campaign_5191,3061,Radio,2025-03-22,2025-04-25
5192,Campaign_5192,3040,Social Media,2025-04-12,2025-05-21
5193,Campaign_5193,3068,Search Engine,2025-02-13,2025-03-29
5194,Campaign_5194,3045,Search Engine,2025-03-12,2025-04-30
5195,Campaign_5195,3061,Social Media,2025-02-07,2025-03-04
5196,Campaign_5196,3035,Radio,2025-04-18,2025-05-17
5197,Campaign_5197,3028,Search Engine,2025-04-04,2025-06-02
5198,Campaign_5198,3036,Social Media,2025-05-01,2025-06-24
5199,Campaign_5199,3090,TV,2025-04-22,2025-05-22
5200,Campaign_5200,3061,Search Engine,2025-04-09,2025-05-24
5201,Campaign_5201,3092,Search Engine,2025-03-14,2025-04-11
5202,Campaign_5202,3015,Radio,2025-03-30,2025-05-22
5203,Campaign_5203,3069,TV,2025-03-26,2025-04-30
5204,Campaign_5204,3044,Social Media,2025-04-29,2025-05-27
5205,Campaign_5205,3005,Search Engine,2025-02-23,2025-04-19
5206,Campaign_5206,3010,Search Engine,2025-04-28,2025-06-05
5207,Campaign_5207,3083,Search Engine,2025-05-04,2025-06-30
5208,Campaign_5208,3061,Social Media,2025-02-20,2025-03-14
5209,Campaign_5209,3068,Search Engine,2025-03-21,2025-05-05
5210,Campaign_5210,3089,Search Engine,2025-03-12,2025-03-30
5211,Campaign_5211,3013,Radio,2025-04-16,2025-06-12
5212,Campaign_5212,3075,Social Media,2025-04-30,2025-05-25
5213,Campaign_5213,3006,Radio,2025-02-28,2025-03-24
5214,Campaign_5214,3081,Social Media,2025-02-22,2025-03-07
5215,Campaign_5215,3012,TV,2025-03-22,2025-04-22
5216,Campaign_5216,3091,TV,2025-04-15,2025-05-01
5217,Campaign_5217,3087,Social Media,2025-05-05,2025-05-15
5218,Campaign_5218,3070,Social Media,2025-02-24,2025-04-01
5219,Campaign_5219,3083,TV,2025-03-08,2025-04-17
5220,Campaign_5220,3083,Social Media,2025-02-17,2025-04-16
5221,Campaign_5221,3036,Search Engine,2025-03-05,2025-04-02
5222,Campaign_5222,3082,Email,2025-02-11,2025-04-11
5223,Campaign_5223,3011,Radio,2025-05-02,2025-05-26
5224,Campaign_5224,3068,Email,2025-02-07,2025-02-28
5225,Campaign_5225,3053,Social Media,2025-02-25,2025-03-09
5226,Campaign_5226,3050,TV,2025-04-02,2025-04-23
5227,Campaign_5227,3095,Search Engine,2025-03-21,2025-04-02
5228,Campaign_5228,3001,Search Engine,2025-03-21,2025-05-06
5229,Campaign_5229,3077,Email,2025-02-28,2025-03-31
5230,Campaign_5230,3036,TV,2025-04-12,2025-06-02
5231,Campaign_5231,3069,Radio,2025-04-04,2025-05-15
5232,Campaign_5232,3017,Radio,2025-03-20,2025-04-28
5233,Campaign_5233,3034,Social Media,2025-02-28,2025-03-17
5234,Campaign_5234,3042,Social Media,2025-04-23,2025-06-18
5235,Campaign_5235,3058,Search Engine,2025-02-22,2025-04-18
5236,Campaign_5236,3023,Email,2025-03-21,2025-05-17
5237,Campaign_5237,3043,Search Engine,2025-03-25,2025-05-10
5238,Campaign_5238,3086,Social Media,2025-04-08,2025-04-29
5239,Campaign_5239,3078,TV,2025-02-15,2025-03-24
5240,Campaign_5240,3065,Search Engine,2025-04-24,2025-05-09
5241,Campaign_5241,3051,Email,2025-04-04,2025-04-25
5242,Campaign_5242,3017,TV,2025-04-27,2025-05-27
5243,Campaign_5243,3031,Email,2025-03-09,2025-04-04
5244,Campaign_5244,3049,Social Media,2025-04-30,2025-06-07
5245,Campaign_5245,3096,Search Engine,2025-05-05,2025-06-05
5246,Campaign_5246,3038,Radio,2025-05-04,2025-06-29
5247,Campaign_5247,3073,Email,2025-02-20,2025-03-18
5248,Campaign_5248,3083,Search Engine,2025-02-28,2025-04-23
5249,Campaign_5249,3030,Email,2025-03-21,2025-05-12
5250,Campaign_5250,3015,TV,2025-04-16,2025-05-15
5251,Campaign_5251,3020,TV,2025-02-11,2025-04-05
5252,Campaign_5252,3064,Search Engine,2025-02-05,2025-03-31
5253,Campaign_5253,3015,Search Engine,2025-04-18,2025-05-21
5254,Campaign_5254,3078,Social Media,2025-02-08,2025-03-04
5255,Campaign_5255,3017,TV,2025-04-12,2025-05-01
5256,Campaign_5256,3058,Radio,2025-04-11,2025-05-14
5257,Campaign_5257,3053,Radio,2025-03-16,2025-04-25
5258,Campaign_5258,3096,Radio,2025-04-30,2025-06-21
5259,Campaign_5259,3027,Social Media,2025-03-27,2025-05-19
5260,Campaign_5260,3096,Radio,2025-03-22,2025-05-21
5261,Campaign_5261,3010,Radio,2025-04-29,2025-06-06
5262,Campaign_5262,3067,Search Engine,2025-03-14,2025-03-28
5263,Campaign_5263,3072,Email,2025-02-11,2025-02-24
5264,Campaign_5264,3070,Radio,2025-04-22,2025-05-14
5265,Campaign_5265,3073,Radio,2025-03-17,2025-04-05
5266,Campaign_5266,3021,Search Engine,2025-03-02,2025-04-14
5267,Campaign_5267,3056,Email,2025-05-01,2025-06-23
5268,Campaign_5268,3026,Radio,2025-04-15,2025-05-26
5269,Campaign_5269,3011,Radio,2025-03-29,2025-05-06
5270,Campaign_5270,3007,TV,2025-02-16,2025-03-06
5271,Campaign_5271,3065,TV,2025-04-15,2025-05-24
5272,Campaign_5272,3072,Email,2025-04-21,2025-06-05
5273,Campaign_5273,3059,Search Engine,2025-04-04,2025-05-30
5274,Campaign_5274,3002,TV,2025-04-08,2025-05-04
5275,Campaign_5275,3000,Social Media,2025-03-28,2025-05-14
5276,Campaign_5276,3009,Email,2025-04-15,2025-05-22
5277,Campaign_5277,3044,Email,2025-02-07,2025-03-23
5278,Campaign_5278,3007,Email,2025-03-19,2025-04-28
5279,Campaign_5279,3004,Search Engine,2025-03-23,2025-04-28
5280,Campaign_5280,3023,Social Media,2025-04-26,2025-06-24
5281,Campaign_5281,3082,TV,2025-04-16,2025-05-19
5282,Campaign_5282,3048,TV,2025-02-10,2025-03-16
5283,Campaign_5283,3048,Email,2025-03-05,2025-04-27
5284,Campaign_5284,3084,Radio,2025-04-24,2025-05-12
5285,Campaign_5285,3083,Search Engine,2025-03-15,2025-04-01
5286,Campaign_5286,3022,Radio,2025-04-26,2025-05-31
5287,Campaign_5287,3067,Social Media,2025-04-25,2025-06-20
5288,Campaign_5288,3028,Email,2025-04-16,2025-06-13
5289,Campaign_5289,3002,Search Engine,2025-04-20,2025-05-29
5290,Campaign_5290,3086,Radio,2025-02-08,2025-03-17
5291,Campaign_5291,3068,TV,2025-03-12,2025-04-05
5292,Campaign_5292,3031,TV,2025-03-15,2025-04-16
5293,Campaign_5293,3019,Search Engine,2025-04-15,2025-05-07
5294,Campaign_5294,3092,Email,2025-03-26,2025-04-07
5295,Campaign_5295,3084,TV,2025-04-07,2025-05-26
5296,Campaign_5296,3098,Email,2025-04-09,2025-05-04
5297,Campaign_5297,3026,Email,2025-03-19,2025-04-04
5298,Campaign_5298,3076,Email,2025-03-18,2025-04-25
5299,Campaign_5299,3076,Email,2025-04-22,2025-05-17
